Group,Label,Description,Format,Summary,Instruction,States,TBit,UsedIn
System Control,CLRMAC,Clear MAC Register,CLRMAC,"0 → MACH, MACL",0000000000101000,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,CLRS,Clear S Bit,CLRS,0 → S,0000000001001000,1,--," sh3 sh3e sh4 sh4a "
System Control,CLRT,Clear T Bit,CLRT,0 → T,0000000000001000,1,0," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpEq,Compare Equal,"CMP/EQ #imm,R0","When R0 = imm, 1 → T  Otherwise, 0 → T",10001000iiiiiiii,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpEq,Compare Equal,"CMP/EQ Rm,Rn","When Rn = Rm, 1 → T  Otherwise, 0 → T",0011nnnnmmmm0000,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpGe,Compare Greater or Equal (Signed),"CMP/GE Rm,Rn","When Rn ≥ Rm (signed), 1 → T  Otherwise, 0 → T",0011nnnnmmmm0011,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpGt,Compare Greater Than (Signed),"CMP/GT Rm,Rn","When Rn > Rm (signed), 1 → T  Otherwise, 0 → T",0011nnnnmmmm0111,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpHi,Compare Higher (Unsigned),"CMP/HI Rm,Rn","When Rn > Rm (unsigned),   1 → T Otherwise, 0 → T",0011nnnnmmmm0110,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpHs,Compare Higher or Same (Unsigned),"CMP/HS Rm,Rn","When Rn ≥ Rm (unsigned),   1 → T Otherwise, 0 → T",0011nnnnmmmm0010,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpPl,Compare Plus (Positive),CMP/PL Rn,"When Rn > 0, 1 → T  Otherwise, 0 → T",0100nnnn00010101,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpPz,Compare Plus or Zero,CMP/PZ Rn,"When Rn ≥ 0, 1 → T  Otherwise, 0 → T",0100nnnn00010001,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpStr,Compare String,"CMP/STR Rm,Rn","When any bytes are equal,   1 → T Otherwise, 0 → T",0010nnnnmmmm1100,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DIV0S,Divide Step 0 as Signed,"DIV0S Rm,Rn","MSB of Rn → Q, MSB of Rm → M, M^Q → T",0010nnnnmmmm0111,1,Calculation," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DIV0U,Divide Step 0 as Unsigned,DIV0U,0 → M/Q/T,0000000000011001,1,0," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DIV1,Divide Step 1,"DIV1 Rm,Rn",1-step division (Rn ÷ Rm),0011nnnnmmmm0100,1,Calculation," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DIVS,Division Signed,"DIVS R0,Rn",Signed operation of Rn÷R0 → Rn 32 ÷ 32 → 32 bits,0100nnnn10010100,36,--," sh2a "
Arithmetic,DIVU,Division Unsigned,"DIVU R0,Rn",Unsigned operation of Rn ÷ R0 → Rn 32 ÷ 32 → 32 bits,0100nnnn10000100,34,--," sh2a "
Arithmetic,DMULS_L,Double-length Multiply as Signed (Long),"DMULS.L Rm,Rn","Signed, Rn × Rm → MACH, MACL",0011nnnnmmmm1101,2-5,--," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DMULU_L,Double-length Multiply as Unsigned (Long),"DMULU.L Rm,Rn","Unsigned, Rn × Rm → MACH, MACL",0011nnnnmmmm0101,2-5,--," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DT,Decrement and Test,DT Rn,"Rn  1 → Rn; if Rn = 0, 1 → T if Rn ≠ 0, 0 → T",0100nnnn00010000,1,Comparison," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,EXTS_B,Extend as Signed (Byte),"EXTS.B Rm,Rn",Rm sign-extended from byte → Rn,0110nnnnmmmm1110,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,EXTS_W,Extend as Signed (Word),"EXTS.W Rm,Rn",Rm sign-extended from word → Rn,0110nnnnmmmm1111,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,EXTU_B,Extend as Unsigned (Byte),"EXTU.B Rm,Rn",Rm zero-extended from byte → Rn,0110nnnnmmmm1100,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,EXTU_W,Extend as Unsigned (Word),"EXTU.W Rm,Rn",Rm zero-extended from word → Rn,0110nnnnmmmm1101,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Floating Point,FABS,Floating Point Absolute Value,FABS DRn,DRn & H'7FFF FFFF FFFF FFFF → Drn,1111nnn001011101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FABS,Floating Point Absolute Value,FABS FRn,FRn & H'7FFF FFFF → FRn,1111nnnn01011101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FADD,Floating Point Add,"FADD DRm,DRn",DRn + DRm → DRn,1111nnn0mmm00000,6,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FADD,Floating Point Add,"FADD FRm,FRn",FRn + FRm → FRn,1111nnnnmmmm0000,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FCMPeq,Floating Point Compare Equal,"FCMP/EQ DRm,DRn",(DRn==DRm)?1:0 → T,1111nnn0mmm00100,1,1/0," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FCMPeq,Floating Point Compare Equal,"FCMP/EQ FRm,FRn",(FRn==FRm)?1:0 → T,1111nnnnmmmm0100,1,1/0," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FCMPgt,Floating Point Compare Greater Than,"FCMP/GT DRm,DRn",(DRn>DRm)?1:0 → T,1111nnn0mmm00101,2,1/0," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FCMPgt,Floating Point Compare Greater Than,"FCMP/GT FRm,FRn",(FRn>FRm)?1:0 → T,1111nnnnmmmm0101,2,1/0," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FCNVDS,Floating Point Convert Double to Single Precision,"FCNVDS DRm,FPUL",(float)DRm → FPUL,1111mmm010111101,2,--," sh2a sh4 sh4a "
Floating Point,FCNVSD,Floating Point Convert Single to Double Precision,"FCNVSD FPUL,DRn",(double)FPUL → DRn,1111nnn010101101,2,--," sh2a sh4 sh4a "
Floating Point,FDIV,Floating Point Divide,"FDIV DRm,DRn",DRn/DRm → DRn,1111nnn0mmm00011,23,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FDIV,Floating Point Divide,"FDIV FRm,FRn",FRn/FRm → FRn,1111nnnnmmmm0011,10,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FIPR,Floating Point Inner Product,"FIPR FVm,FVn",FVn ⋅ FVm → FR[n + 3],1111nnmm11101101,1,--," sh4 sh4a "
Floating Point,FLDI0,Floating Point Load Immediate 0.0,FLDI0 FRn,0x00000000 → FRn,1111nnnn10001101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FLDI1,Floating Point Load Immediate 1.0,FLDI1 FRn,0x3F800000 → FRn,1111nnnn10011101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FLDS,Floating Point Load to System Register,"FLDS FRm,FPUL",FRm → FPUL,1111mmmm00011101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FLOAT,Floating Point Convert from Integer,"FLOAT FPUL,DRn",(float)FPUL → DRn,1111nnn000101101,2,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FLOAT,Floating Point Convert from Integer,"FLOAT FPUL,FRn",(float)FPUL → FRn,1111nnnn00101101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMAC,Floating Point Multiply and Accumulate,"FMAC FR0,FRm,FRn",FR0*FRm + FRn → FRn,1111nnnnmmmm1110,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @(R0,Rm),DRn",(R0 + Rm) → DRn,1111nnn0mmmm0110,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @(R0,Rm),XDn",(R0 + Rm) → XDn,1111nnn1mmmm0110,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @Rm,DRn",(Rm) → DRn,1111nnn0mmmm1000,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @Rm,XDn",(Rm) → XDn,1111nnn1mmmm1000,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @Rm+,DRn","(Rm) → DRn, Rm + 8 → Rm",1111nnn0mmmm1001,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @Rm+,XDn","(Rm) → XDn, Rm + 8 → Rm",1111nnn1mmmm1001,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV DRm,@-Rn","Rn-8 → Rn, DRm → (Rn)",1111nnnnmmm01011,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV DRm,@(R0,Rn)",DRm → (R0 + Rn),1111nnnnmmm00111,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV DRm,@Rn",DRm → (Rn),1111nnnnmmm01010,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV DRm,DRn",DRm → DRn,1111nnn0mmm01100,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV DRm,XDn",DRm → XDn,1111nnn1mmm01100,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV FRm,FRn",FRm → FRn,1111nnnnmmmm1100,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV XDm,@-Rn","Rn  = 8, XDm → (Rn)",1111nnnnmmm11011,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV XDm,@(R0,Rn)",XDm → (R0 + Rn),1111nnnnmmm10111,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV XDm,@Rn",XDm → (Rn),1111nnnnmmm11010,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV XDm,DRn",XDm → DRn,1111nnn0mmm11100,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV XDm,XDn",XDm → XDn,1111nnn1mmm11100,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMUL,Floating Point Multiply,"FMUL DRm,DRn",DRn*DRm → DRn,1111nnn0mmm00010,6,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMUL,Floating Point Multiply,"FMUL FRm,FRn",FRn*FRm → FRn,1111nnnnmmmm0010,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FNEG,Floating Point Negate,FNEG DRn,DRn ^ H'8000 0000 0000 0000  → Drn,1111nnn001001101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FNEG,Floating Point Negate,FNEG FRn,FRn ∧ H'80000000 → FRn,1111nnnn01001101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FPCHG,PR-bit Change,FPCHG,~FPSCR.PR → FPSCR.PR,1111011111111101,1,--," sh4a "
Floating Point,FRCHG,FR-bit Change,FRCHG,FPSCR.FR = ~FPSCR.FR,1111101111111101,1,--," sh4 sh4a "
Floating Point,FSCA,Floating Point Sine and Cosine Approximate,"FSCA FPUL,DRn",sin(FPUL) → Frn cos(FPUL) → FR[n+1],1111nnn011111101,3,--," sh4 sh4a "
Floating Point,FSCHG,SZ-bit Change,FSCHG,FPSCR.SZ = ~FPSCR.SZ,1111001111111101,1,--," sh2a sh4 sh4a "
Floating Point,FSQRT,Floating Point Square Root,FSQRT DRn,√DRn → DRn,1111nnn001101101,22,--," sh2a sh3e sh4 sh4a "
Floating Point,FSQRT,Floating Point Square Root,FSQRT FRn,√FRn → FRn,1111nnnn01101101,9,--," sh2a sh3e sh4 sh4a "
Floating Point,FSRRA,Floating Point Square Reciprocal Approximate,FSRRA FRn,1/sqrt(FRn)* → Frn,1111nnnn01111101,1,--," sh4 sh4a "
Floating Point,FSTS,Floating Point Store System Register,"FSTS FPUL,FRn",FPUL → FRn,1111nnnn00001101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FSUB,Floating Point Subtract,"FSUB DRm,DRn",DRn  DRm → DRn,1111nnn0mmm00001,6,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FSUB,Floating Point Subtract,"FSUB FRm,FRn",FRn  FRm → FRn,1111nnnnmmmm0001,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FTRC,Floating Point Truncate and Convert to Integer,"FTRC DRm,FPUL",(long)DRm → FPUL,1111mmm000111101,2,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FTRC,Floating Point Truncate and Convert to Integer,"FTRC FRm,FPUL",(long)FRm → FPUL,1111mmmm00111101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FTRV,Floating Point Transform Vector,"FTRV XMTRX,FVn",XMTRX*FVn → FVn,1111nn0111111101,4,--," sh4 sh4a "
Data Transfer,ICBI,Instruction Cache Block Invalidate,ICBI @Rn,Invalidates the instruction Cache,0000nnnn11100011,13,--," sh4a "
Branch,JMP,Jump,JMP @Rn,Rn → PC,0100nnnn00101011,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Branch,JSR,Jump to Subroutine,JSR @Rn,"PC + 4 → PR, Rn → PC",0100nnnn00001011,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Branch,JSRn,Jump to Subroutine (No Delay),JSR/N @Rm,"PC-2 → PR, Rm → PC",0100mmmm01001011,3,--," sh2a "
Branch,JSRn,Jump to Subroutine (No Delay),"JSR/N @@(disp8, TBR)","PC-2 → PR, (disp × 4 + TBR) → PC",10000011dddddddd,5,--," sh2a "
System Control,LDBANK,Load from Register Bank,"LDBANK @Rm,R0",(Specified register bank) → R0,0100mmmm11100101,6,--," sh2a "
System Control,LDC,Load to Control Register,"LDC Rm,DBR",Rm → DBR,0100mmmm11111010,1,--," sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,GBR",Rm → GBR,0100mmmm00011110,3,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R0_BANK",Rm → R0_BANK,0100mmmm10001110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R1_BANK",Rm → R1_BANK,0100mmmm10011110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R2_BANK",Rm → R2_BANK,0100mmmm10101110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R3_BANK",Rm → R3_BANK,0100mmmm10111110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R4_BANK",Rm → R4_BANK,0100mmmm11001110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R5_BANK",Rm → R5_BANK,0100mmmm11011110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R5_BANK",Rm → R5_BANK,0100mmmm01011110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R6_BANK",Rm → R6_BANK,0100mmmm11101110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R6_BANK",Rm → R6_BANK,0100mmmm01101110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R7_BANK",Rm → R7_BANK,0100mmmm11111110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,R7_BANK",Rm → R7_BANK,0100mmmm01111110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,SPC",Rm → SPC,0100mmmm01001110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,SR",Rm → SR,0100mmmm00001110,4,LSB," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,SSR",Rm → SSR,0100mmmm00111110,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,VBR",Rm → VBR,0100mmmm00101110,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDC,Load to Control Register,"LDC Rm,TBR",Rm → TBR,0100mmmm01001010,1,--," sh2a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,DBR","(Rm) → DBR, Rm + 4 → Rm",0100mmmm11110110,1,--," sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,GBR","(Rm) → GBR, Rm + 4 → Rm",0100mmmm00010111,3,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R0_BANK","(Rm) → R0_BANK, Rm + 4 → Rm",0100mmmm10000111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R1_BANK","(Rm) → R1_BANK, Rm + 4 → Rm",0100mmmm10010111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R2_BANK","(Rm) → R2_BANK, Rm + 4 → Rm",0100mmmm10100111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R3_BANK","(Rm) → R3_BANK, Rm + 4 → Rm",0100mmmm10110111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R4_BANK","(Rm) → R4_BANK, Rm + 4 → Rm",0100mmmm11000111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R5_BANK","(Rm) → R5_BANK, Rm + 4 → Rm",0100mmmm11010111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R5_BANK","(Rm) → R5_BANK, Rm + 4 → Rm",0100mmmm01010111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R6_BANK","(Rm) → R6_BANK, Rm + 4 → Rm",0100mmmm11100111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R6_BANK","(Rm) → R6_BANK, Rm + 4 → Rm",0100mmmm01100111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R7_BANK","(Rm) → R7_BANK, Rm + 4 → Rm",0100mmmm11110111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,R7_BANK","(Rm) → R7_BANK, Rm + 4 → Rm",0100mmmm01110111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,SPC","(Rm) → SPC, Rm + 4 → Rm",0100mmmm01000111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,SR","(Rm) → SR, Rm + 4 → Rm",0100mmmm00000111,4,LSB," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,SGR","(Rm) → SGR, Rm + 4 → Rm",0100mmmm00110110,4,--," sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,SSR","(Rm) → SSR, Rm + 4 → Rm",0100mmmm00110111,1,--," sh3 sh3e sh4 sh4a "
System Control,LDC_L,Load to Control Register (Long),"LDC.L @Rm+,VBR","(Rm) → VBR, Rm + 4 → Rm",0100mmmm00100111,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDS,Load to System Register,"LDS Rm,FPSCR",Rm → FPSCR,0100mmmm01101010,1,--," sh2a sh2e sh3e sh4 sh4a "
System Control,LDS,Load to System Register,"LDS Rm,FPUL",Rm → FPUL,0100mmmm01011010,1,--," sh2a sh2e sh3e sh4 sh4a "
System Control,LDS,Load to System Register,"LDS Rm,MACH",Rm → MACH,0100mmmm00001010,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDS,Load to System Register,"LDS Rm,MACL",Rm → MACL,0100mmmm00011010,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDS,Load to System Register,"LDS Rm,PR",Rm → PR,0100mmmm00101010,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDS_L,Load to System Register (Long),"LDS.L @Rm+,FPSCR","(Rm) → FPSCR, Rm + 4 → Rm",0100mmmm01100110,1,--," sh2a sh2e sh3e sh4 sh4a "
System Control,LDS_L,Load to System Register (Long),"LDS.L @Rm+,FPUL","(Rm) → FPUL, Rm + 4 → Rm",0100mmmm01010110,1,--," sh2a sh2e sh3e sh4 sh4a "
System Control,LDS_L,Load to System Register (Long),"LDS.L @Rm+,MACH","(Rm) → MACH, Rm + 4 → Rm",0100mmmm00000110,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDS_L,Load to System Register (Long),"LDS.L @Rm+,MACL","(Rm) → MACL, Rm + 4 → Rm",0100mmmm00010110,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDS_L,Load to System Register (Long),"LDS.L @Rm+,PR","(Rm) → PR, Rm + 4 → Rm",0100mmmm00100110,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,LDTLB,Load PTEH/PTEL to TLB,LDTLB,PTEH/PTEL/PTEA → TLB,0000000000111000,1,--," sh3 sh3e sh4 sh4a "
Arithmetic,MAC_L,Multiply and Accumulate Long,"MAC.L @Rm+,@Rn+","Signed, (Rn) × (Rm) + MAC → MAC Rn + 4 → Rn, Rm + 4 → Rm",0000nnnnmmmm1111,2,5," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,MAC_W,Multiply and Accumulate Word,"MAC.W @Rm+,@Rn+","Signed, (Rn) × (Rm) + MAC → MAC Rn + 2 → Rn, Rm + 2 → Rm",0100nnnnmmmm1111,2,5," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV,Move Data,"MOV #imm,Rn",imm → sign extension → Rn,1110nnnniiiiiiii,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV,Move Data,"MOV Rm,Rn",Rm → Rn,0110nnnnmmmm0011,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_B,Move Data (Byte),"MOV.B @(disp,GBR),R0",(disp + GBR) → sign extension → R0,11000100dddddddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_B,Move Data (Byte),"MOV.B @(disp,Rm),R0",(disp + Rm) → sign extension → R0,10000100mmmmdddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_B,Move Data (Byte),"MOV.B @(R0,Rm),Rn",(R0 + Rm) → sign extension → Rn,0000nnnnmmmm1100,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_B,Move Data (Byte),"MOV.B @Rm,Rn",(Rm) → sign extension → Rn,0110nnnnmmmm0000,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_B,Move Data (Byte),"MOV.B @Rm+,Rn","(Rm) → sign extension → Rn, Rm + 1 → Rm",0110nnnnmmmm0100,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_B,Move Data (Byte),"MOV.B R0,@(disp,GBR)",R0 → (disp + GBR),11000000dddddddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_B,Move Data (Byte),"MOV.B R0,@(disp,Rn)",R0 → (disp + Rn),10000000nnnndddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_B,Move Data (Byte),"MOV.B Rm,@-Rn","Rn-1 → Rn, Rm → (Rn)",0010nnnnmmmm0100,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_B,Move Data (Byte),"MOV.B Rm,@(R0,Rn)",Rm → (R0 + Rn),0000nnnnmmmm0100,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_B,Move Data (Byte),"MOV.B Rm,@Rn",Rm → (Rn),0010nnnnmmmm0000,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_L,Move Data (Long),"MOV.L @(disp,GBR),R0",(disp × 4 + GBR) → R0,11000110dddddddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_L,Move Data (Long),"MOV.L @(disp,PC),Rn",(disp × 4 + PC & H'FFFFFFFC + 4) → Rn,1101nnnndddddddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_L,Move Data (Long),"MOV.L @(disp,Rm),Rn",(disp × 4 + Rm) → Rn,0101nnnnmmmmdddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_L,Move Data (Long),"MOV.L @(R0,Rm),Rn",(R0 + Rm) → Rn,0000nnnnmmmm1110,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_L,Move Data (Long),"MOV.L @Rm,Rn",(Rm) → Rn,0110nnnnmmmm0010,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_L,Move Data (Long),"MOV.L @Rm+,Rn","(Rm) → Rn, Rm + 4 → Rm",0110nnnnmmmm0110,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_L,Move Data (Long),"MOV.L R0,@(disp,GBR)",R0 → (disp × 4 + GBR),11000010dddddddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_L,Move Data (Long),"MOV.L Rm,@-Rn","Rn-4 → Rn, Rm → (Rn)",0010nnnnmmmm0110,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,MOV_L,Move Data (Long),"MOV.L Rm,@(disp,Rn)",Rm → (disp × 4 + Rn),0001nnnnmmmmdddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
