Group,Label,Description,Format,Summary,Instruction,States,TBit,UsedIn
Data Transfer,OCBP,Operand Cache Block Purge,OCBP @Rn,Operand cache block purge,0000nnnn10100011,1,--," sh4 sh4a "
Data Transfer,OCBWB,Operand Cache Block Write Back,OCBWB @Rn,Operand cache block write-back,0000nnnn10110011,1,--," sh4 sh4a "
Logic Operation,OR,OR Logical,"OR #imm,R0",R0 | imm → R0,11001011iiiiiiii,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,OR,OR Logical,"OR Rm,Rn",Rn | Rm → Rn,0010nnnnmmmm1011,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,OR_B,OR Logical (Byte),"OR.B #imm,@(R0,GBR)",(R0 + GBR) | imm → (R0 + GBR),11001111iiiiiiii,4,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,PREF,Prefetch Data to Cache,PREF @Rn,(Rn) → operand cache,0000nnnn10000011,1,--," sh2a sh3 sh3e sh4 sh4a "
Data Transfer,PREFI,Prefetch Instruction Cache Block,PREFI @Rn,Invalidation of instruction cache,0000nnnn11010011,10,--," sh4a "
System Control,RESBANK,Register Restoration from Bank,RESBANK,"Bank → R0 to R14, GBR, MACH, MACL, PR",0000000001011011,9,--," sh2a "
Shift,ROTCL,Rotate with Carry Left,ROTCL Rn,T ← Rn ← T,0100nnnn00100100,1,MSB," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,ROTCR,Rotate with Carry Right,ROTCR Rn,T → Rn → T,0100nnnn00100101,1,LSB," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,ROTL,Rotate Left,ROTL Rn,T ← Rn ← MSB,0100nnnn00000100,1,MSB," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,ROTR,Rotate Right,ROTR Rn,LSB → Rn → T,0100nnnn00000101,1,LSB," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,RTE,Return from Exception,RTE,"SSR → SR, SPC→ PC",0000000000101011,5,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Branch,RTS,Return from Subroutine,RTS,PR → PC,0000000000001011,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Branch,RTSn,Return from Subroutine (No Delay),RTS/N,PR → PC,0000000001101011,3,--," sh2a "
Branch,RTVn,Return to Value from Subroutine (No Delay),RTV/N Rm,"Rm → R0, PR → PC",0000mmmm01111011,3,--," sh2a "
System Control,SETS,Set S Bit,SETS,1 → S,0000000001011000,1,--," sh3 sh3e sh4 sh4a "
System Control,SETT,Set T Bit,SETT,1 → T,0000000000011000,1,1," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,SHAD,Shift Arithmetic Dynamically,"SHAD Rm,Rn","When Rm ≥ 0, Rn << Rm → Rn When Rm < 0, Rn >> Rm → [MSB → Rn]",0100nnnnmmmm1100,1,--," sh2a sh3 sh3e sh4 sh4a "
Shift,SHAL,Shift Arithmetic Left,SHAL Rn,T ← Rn ← 0,0100nnnn00100000,1,MSB," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,SHAR,Shift Arithmetic Right,SHAR Rn,MSB → Rn → T,0100nnnn00100001,1,LSB," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,SHLD,Shift Logical Dynamically,"SHLD Rm,Rn","When Rm ≥ 0, Rn << Rm → Rn When Rm < 0, Rn >> Rm → [0 → Rn]",0100nnnnmmmm1101,1,--," sh2a sh3 sh3e sh4 sh4a "
Shift,SHLL,Shift Logical Left,SHLL Rn,T ← Rn ← 0,0100nnnn00000000,1,MSB," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,SHLL16,Shift Logical Left 16 Bits,SHLL16 Rn,Rn << 16 → Rn,0100nnnn00101000,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,SHLL2,Shift Logical Left 2 Bits,SHLL2 Rn,Rn << 2 → Rn,0100nnnn00001000,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,SHLL8,Shift Logical Left 8 Bits,SHLL8 Rn,Rn << 8 → Rn,0100nnnn00011000,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,SHLR,Shift Logical Right,SHLR Rn,0 → Rn → T,0100nnnn00000001,1,LSB," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,SHLR16,Shift Logical Right 16 Bits,SHLR16 Rn,Rn >> 16 → Rn,0100nnnn00101001,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,SHLR2,Shift Logical Right 2 Bits,SHLR2 Rn,Rn >> 2 → Rn,0100nnnn00001001,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Shift,SHLR8,Shift Logical Right 8 Bits,SHLR8 Rn,Rn >> 8 → Rn,0100nnnn00011001,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,SLEEP,Sleep,SLEEP,Sleep or standby,0000000000011011,4,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STBANK,Register Save to Specified Bank,"STBANK R0,@Rn",R0 → (specified register bank),0100nnnn11100001,7,--," sh2a "
System Control,STC,Store Control Register,"STC DBR,Rn",DBR → Rn,0000nnnn11111010,2,--," sh4 sh4a "
System Control,STC,Store Control Register,"STC GBR,Rn",GBR → Rn,0000nnnn00010010,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R0_BANK,Rn",R0_BANK → Rn,0000nnnn10000010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R1_BANK,Rn",R1_BANK → Rn,0000nnnn10010010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R2_BANK,Rn",R2_BANK → Rn,0000nnnn10100010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R3_BANK,Rn",R3_BANK → Rn,0000nnnn10110010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R4_BANK,Rn",R4_BANK → Rn,0000nnnn11000010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R5_BANK,Rn",R5_BANK → Rn,0000nnnn11010010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R5_BANK,Rn",R5_BANK → Rn,0000nnnn01010010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R6_BANK,Rn",R6_BANK → Rn,0000nnnn11100010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R6_BANK,Rn",R6_BANK → Rn,0000nnnn01100010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R7_BANK,Rn",R7_BANK → Rn,0000nnnn11110010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC R7_BANK,Rn",R7_BANK → Rn,0000nnnn01110010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC SGR,Rn",SGR → Rn,0000nnnn00111010,3,--," sh4 sh4a "
System Control,STC,Store Control Register,"STC SPC,Rn",SPC → Rn,0000nnnn01000010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC SR,Rn",SR → Rn,0000nnnn00000010,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC SSR,Rn",SSR → Rn,0000nnnn00110010,2,--," sh3 sh3e sh4 sh4a "
System Control,STC,Store Control Register,"STC TBR,Rn",TBR → Rn,0000nnnn01001010,1,--," sh2a "
System Control,STC,Store Control Register,"STC VBR,Rn",VBR → Rn,0000nnnn00100010,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L DBR,@-Rn","Rn  4 → Rn, DBR → (Rn)",0100nnnn11110010,2,--," sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L GBR,@-Rn","Rn  4 → Rn, GBR → (Rn)",0100nnnn00010011,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R0_BANK,@-Rn","Rn  4 → Rn, R0_BANK → (Rn)",0100nnnn10000011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R1_BANK,@-Rn","Rn  4 → Rn, R1_BANK → (Rn)",0100nnnn10010011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R2_BANK,@-Rn","Rn  4 → Rn, R2_BANK → (Rn)",0100nnnn10100011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R3_BANK,@-Rn","Rn  4 → Rn, R3_BANK → (Rn)",0100nnnn10110011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R4_BANK,@-Rn","Rn  4 → Rn, R4_BANK → (Rn)",0100nnnn11000011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R5_BANK,@-Rn","Rn  4 → Rn, R5_BANK → (Rn)",0100nnnn11010011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R5_BANK,@-Rn","Rn  4 → Rn, R5_BANK → (Rn)",0100nnnn01010011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R6_BANK,@-Rn","Rn  4 → Rn, R6_BANK → (Rn)",0100nnnn11100011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R6_BANK,@-Rn","Rn  4 → Rn, R6_BANK → (Rn)",0100nnnn01100011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R7_BANK,@-Rn","Rn  4 → Rn, R7_BANK → (Rn)",0100nnnn11110011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L R7_BANK,@-Rn","Rn  4 → Rn, R7_BANK → (Rn)",0100nnnn01110011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L SGR,@-Rn","Rn  4 → Rn, SGR → (Rn)",0100nnnn00110010,3,--," sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L SPC,@-Rn","Rn  4 → Rn, SPC → (Rn)",0100nnnn01000011,2,--," sh3 sh3e sh4 sh4a "
